source,area,iso,adm_id,id,sex,age2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DHS,Western Asia,IRQ,Babylon,2,1,75,2353,3039.551804,3726.303674,3909.026119,4118.313641,4360.782352,4239.547996,3378.959994,3370.968548,3367.567044,3371.068615,4195.878243,4924.461095,4923.410176,4941.838706,4981.861834,5008.108202,5059.142709,5092.92531,5051.940575,4924.089657
DHS,Western Asia,IRQ,Babylon,2,1,80,4010,4084.514608,4159.099216,4345.77247,4458.581049,4492.614272,4475.597661,4344.217686,4281.173484,4162.625933,3997.984303,5834.002795,4632.014804,4637.818204,4576.537135,4451.7747660000005,4591.947447,4652.874566,4641.581667,4571.948558,4454.259715
DHS,Western Asia,IRQ,Baghdad,3,2,1,74249,78656.57915,83064.63891,81795.24952,80804.51141,80397.60795,80601.05968,95977.02139,98831.84131,101771.6821,104573.5144,93750.11781,102942.4391,104428.8311,105538.8436,106221.3049,106708.7075,106792.9551,106665.2909,106582.7499,106722.3486
DHS,Western Asia,IRQ,Baghdad,3,2,10,351822,340922.5233,330022.5944,330004.5109,329927.1269,330053.8302,329990.4785,324203.9369,329918.8118,335782.4301,341380.8682,356824.6497,361633.5653,365239.0783,369044.2594,373597.2905,379241.8105,385593.4562,392392.5403,399286.6096,406076.5212
DHS,Western Asia,IRQ,Baghdad,3,2,15,318977,310028.5147,301080.2912,301650.6584,301919.9962,301667.4889,301793.7426,295792.8311,298248.9982,301842.7445,306921.1631,320122.3363,325145.3086,332832.9095,339595.5049,344844.0218,348847.3408,351653.9855,353930.1107,356696.0431,360561.628
DHS,Western Asia,IRQ,Baghdad,3,2,20,318467,315016.3102,311565.7798,310959.198,310135.6734,309352.584,309744.1287,263634.673,265828.0948,268528.572,271888.2918,287194.3337,291238.9845,296810.0562,302447.539,308065.9956,313356.0118,318849.0398,324144.4472,328668.5017,332160.6298
DHS,Western Asia,IRQ,Baghdad,3,2,25,236291,247044.0571,257797.0986,259987.7652,261237.225,261421.5991,261329.4121,244587.9369,245264.4751,246340.7502,248306.9137,221544.3951,239018.1516,244325.9865,249532.7217,254283.5341,258132.8022,261555.3003,264747.1362,268040.4191,271624.4615
DHS,Western Asia,IRQ,Baghdad,3,2,30,182772,194305.3971,205838.5256,208424.7469,210303.8691,211899.8318,211101.8504,226905.7914,230095.5833,233029.3003,235758.3478,209360.261,224585.4093,228070.1104,231716.7041,235559.3704,239101.9476,242841.3978,246633.3637,250263.2699,253624.576
DHS,Western Asia,IRQ,Baghdad,3,2,35,163313,169123.2113,174933.2613,185109.3115,193974.9444,200677.4845,197326.2144,187694.4382,191334.0033,194843.0291,198791.7645,206403.1404,213319.1469,218880.4525,224054.0885,228556.552,232106.9664,235091.9327,237773.6063,240559.7937,243702.2941
DHS,Western Asia,IRQ,Baghdad,3,2,4,288998,309783.0295,330568.3918,328811.3597,326611.6169,324905.4117,325758.5143,349728.0868,355123.281,361594.9251,368883.1745,336021.5516,361724.1085,368736.0471,374981.287,380356.1693,386065.9955,389888.189,392314.2298,393997.8962,395424.1828
DHS,Western Asia,IRQ,Baghdad,3,2,40,116371,119115.6902,121859.927,125628.4226,130713.9942,136735.3453,133724.6698,148814.3065,158790.9271,168209.7499,176490.4207,173515.5969,177167.9417,182365.7577,187316.5169,192280.5847,196823.5468,201296.7668,205568.862,209432.9961,212806.3079
DHS,Western Asia,IRQ,Baghdad,3,2,45,128973,123199.4327,117425.6518,111680.7204,106831.5665,104378.5855,105605.076,110185.2849,114309.1417,120041.4806,127232.5504,137522.3443,140449.8062,151310.4421,161541.4708,170318.3821,177384.5549,183039.5637,187705.7088,192097.2439,196638.5316
DHS,Western Asia,IRQ,Baghdad,3,2,5,361041,358540.8982,356041.1049,357867.1794,359158.3866,359122.8742,359140.6304,355356.5504,357249.889,359278.5208,362763.1907,385070.2522,387539.4079,395809.6807,404558.1134,412554.1984,420246.7875,427531.8757,434285.667,440355.3842,445520.1214
DHS,Western Asia,IRQ,Baghdad,3,2,50,99830,94623.36895,89416.51767,97670.04743,103618.9609,105700.3171,104659.639,87620.32868,83779.00103,80817.88331,79942.49489,133455.3767,115551.1681,121083.9786,128263.0736,136750.3023,146124.2565,156941.6372,168275.0106,178844.3624,187913.3867
DHS,Western Asia,IRQ,Baghdad,3,2,55,67422,66637.22631,65852.0324,62963.6425,61891.32924,63432.24426,62661.78675,68280.22926,75135.97693,80460.44937,83097.39962,103257.7601,86754.55902,83620.55431,81331.5884,80958.45945,81773.79564,83992.35817,87524.30265,92216.2205,97932.20323
DHS,Western Asia,IRQ,Baghdad,3,2,60,49352,53241.81016,57131.622840000004,57899.78159,58004.87133,57218.80211,57611.83672,54272.41855,52172.79291,51804.71886,53935.27102,70352.88613,69542.78993,77126.40348,83011.07368,85907.25698,85870.51026,83538.82872,80246.40524,77849.57806,77365.27639
DHS,Western Asia,IRQ,Baghdad,3,2,65,31940,34327.13711,36714.67944,36907.21735,37186.11046,37570.99445,37378.55245,46119.04327,46951.23912,47365.06217,47202.90735,44809.81798,45128.03407,43579.33576,43547.75311,45591.72078,48975.9197,54165.35183,59787.2962,63995.58803,65921.32173
DHS,Western Asia,IRQ,Baghdad,3,2,70,28422,27642.5702,26863.44974,27105.36645,27350.97277,27574.14564,27462.5592,33998.50383,34273.33528,34746.98743,35479.34259,27974.92587,35334.39094,36191.85203,36653.87733,36553.90393,35583.68428,34023.20611,32680.56577,32610.74875,34241.27183
DHS,Western Asia,IRQ,Baghdad,3,2,75,12730,15374.08898,18017.89427,17840.19927,17752.66833,17768.86221,17760.76527,16253.491,16390.29376,16557.43803,16768.68667,15166.44373,18094.13505,18312.99068,18614.73005,19013.27275,19382.76873,19865.42639,20299.82261,20452.15404,20260.22662
DHS,Western Asia,IRQ,Baghdad,3,2,80,18450,17775.74827,17101.44442,16865.75691,16343.63332,15566.89744,15955.26538,14839.37297,14782.06916,14533.98271,14122.54308,18173.30201,14667.47598,14866.65648,14856.32859,14642.14533,15315.99972,15745.21648,15943.99913,15951.02101,15794.29382
